Date,open,high,low,final,vol
2020-10-22,14420000,14769000,14320000,14558000,4262.746707
2020-10-21,13645000,14812000,13615000,14423000,6403.532239
2020-10-20,13420000,13746000,13339000,13646000,3296.405719
2020-10-19,13207000,13480000,13095000,13415000,2364.390712
2020-10-18,13078000,13208000,13050000,13207000,1089.072411
2020-10-17,13054000,13097000,12970000,13078000,1046.284968
2020-10-16,13230000,13275000,12893000,13054000,3130.673924
2020-10-15,13150000,13300000,12993000,13226000,2393.896921
2020-10-14,13134000,13278000,13040000,13150000,2472.027322
2020-10-13,13176000,13217000,12999000,13134000,2608.353646
2020-10-12,12934000,13330000,12855000,13172000,2796.545863
2020-10-11,12858000,12994000,12817000,12934000,1337.687884
2020-10-10,12637000,13007000,12628000,12864000,2416.641481
2020-10-09,12582000,12750000,12503000,12638000,2245.607475
2020-10-08,12422000,12680000,12280000,12582000,2422.119262
2020-10-07,12408000,12435000,12337000,12423000,1357.358223
2020-10-06,12536000,12600000,12330000,12418000,1745.875329
2020-10-05,12446000,12545000,12385000,12536000,1578.02783
2020-10-04,12393000,12496000,12348000,12447000,869.827279
2020-10-03,12423000,12434000,12326000,12393000,802.7589499
2020-10-02,12440000,12470000,12205000,12423000,2312.407433
2020-10-01,12562000,12678000,12249000,12440000,1790.855138
2020-09-30,12603000,12615000,12469000,12558000,1314.258579
2020-09-29,12468000,12688000,12399000,12601000,2479.365774
2020-09-28,12515000,12795000,12425000,12468000,2919.956269
2020-09-27,12506000,12597000,12320000,12515000,1415.11836
2020-09-26,12456000,12550000,12431000,12506000,1266.600018
2020-09-25,12495000,12550000,12311000,12455000,2895.53433
2020-09-24,11943000,12695000,11912000,12500000,3114.322533
2020-09-23,12346000,12348000,11913000,11943000,2511.568114
2020-09-22,12290000,12380000,12090000,12344000,2500.060755
2020-09-21,12828000,12828000,12160000,12290000,3820.681612
2020-09-20,12928000,12942000,12652000,12819000,1791.113123
2020-09-19,12781000,13036000,12741000,12940000,2078.814763
2020-09-18,12811000,12837000,12672000,12777000,2277.285377
2020-09-17,12908000,13050000,12623000,12811000,3228.037049
2020-09-16,12801000,13050000,12652000,12913000,3856.194297
2020-09-15,12657000,12913000,12555000,12814000,3676.586632
2020-09-14,12377000,12736000,12285000,12659000,2810.175514
2020-09-13,12379000,12571000,12147000,12377000,2563.925195
2020-09-12,12336000,12455000,12228000,12379000,1692.155038
2020-09-11,12328000,12388000,12170000,12336000,2587.418123
2020-09-10,12189000,12435000,12050000,12328000,4150.918463
2020-09-09,12130000,12290000,11939000,12177000,2860.20371
2020-09-08,12388000,12448000,11900000,12131000,3338.502553
2020-09-07,12353000,12450000,11860000,12388000,3422.903789
2020-09-06,12383000,12493000,12123000,12353000,2820.788902
2020-09-05,12630000,12762000,12120000,12382000,4161.039253
2020-09-04,12301000,12773000,12160000,12636000,6538.450248
2020-09-03,13572000,13670000,12265000,12303000,7225.318548
2020-09-02,13972000,14010000,13282000,13571000,5822.802291
2020-09-01,13733000,14097000,13630000,13974000,4847.35215
2020-08-31,13671000,13840000,13580000,13739000,3166.158375
2020-08-30,13470000,13687000,13465000,13671000,2403.720391
2020-08-29,13546000,13568000,13416000,13470000,2279.262696
2020-08-28,13401000,13550000,13332000,13549000,3043.467661
2020-08-27,13561000,13675000,13245000,13401000,5462.363708
2020-08-26,13473000,13633000,13350000,13561000,7348.775059
2020-08-25,13876000,13884000,13341000,13476000,5630.219385
2020-08-24,13816000,13940000,13745000,13876000,3402.101195
2020-08-23,13850000,13856000,13700000,13802000,2120.58334
2020-08-22,13781000,13850000,13500000,13840000,3325.653349
2020-08-21,13951000,14012000,13761000,13781000,4571.555757
2020-08-20,13884000,14050000,13750000,13967000,3049.387612
2020-08-19,14002000,14084000,13666000,13878000,5471.161526
2020-08-18,14202000,14339000,13811000,14000000,5958.553612
2020-08-17,13889000,14382000,13809000,14204000,7068.798724
2020-08-16,13867000,13962000,13751000,13889000,2621.220263
2020-08-15,13845000,14051000,13796000,13878000,3784.706795
2020-08-14,13810000,13939000,13706000,13846000,5427.795611
2020-08-13,13708000,13890000,13398000,13810000,6509.120091
2020-08-12,13619000,13745000,13306000,13709000,4491.106464
2020-08-11,13994000,14042000,13337000,13619000,7038.425569
2020-08-10,13814000,14280000,13746000,13990000,6087.496937
2020-08-09,13884000,13905000,13652000,13820000,2856.75718
2020-08-08,13777000,13960000,13710000,13887000,2600.978883
2020-08-07,13883000,14064000,13551000,13777000,4462.328065
2020-08-06,13843000,14036000,13666000,13884000,5736.954701
2020-08-05,13322000,13881000,13229000,13843000,7147.339005
2020-08-04,13273000,13488000,13130000,13319000,4322.71666
2020-08-03,13030000,13573000,12945000,13272000,4402.742824
2020-08-02,13922000,14380000,12871000,13030000,10730.69158
2020-08-01,13404000,13969000,13271000,13922000,5463.181738
2020-07-31,13097000,13580000,12961000,13416000,4608.299785
2020-07-30,13123000,13170000,12800000,13098000,4755.532715
2020-07-29,12774000,13368000,12701000,13124000,5839.53217
2020-07-28,12914000,13202000,12515000,12772000,7553.152932
2020-07-27,11706000,13275000,11701000,12916000,10523.35455
2020-07-26,11477000,11909000,11416000,11715000,4143.370234
2020-07-25,11346000,11500000,11333000,11477000,1583.496706
2020-07-24,11322000,11438000,11238000,11346000,2160.087493
2020-07-23,11258000,11418000,11183000,11331000,3090.334931
2020-07-22,11117000,11280000,11066000,11269000,2474.643167
2020-07-21,10940000,11220000,10930000,11123000,3235.468313
2020-07-20,10943000,10981000,10908000,10950000,1677.889243
2020-07-19,10908000,10971000,10869000,10943000,976.0132627
2020-07-18,10949000,10990000,10894000,10905000,948.9275781
2020-07-17,10924000,10980000,10875000,10937000,1615.753153
2020-07-16,10975000,11003000,10835000,10934000,2068.356192
2020-07-15,11011000,11017000,10955000,10975000,1649.894148
2020-07-14,11011000,11040000,10925000,11010000,2495.548972
2020-07-13,11036000,11063000,10908000,11000000,2605.403482
2020-07-12,10968000,11061000,10915000,11036000,1317.605221
2020-07-11,11039000,11044000,10910000,10957000,1039.648489
2020-07-10,10961000,11062000,10880000,11043000,2044.037311
2020-07-09,11135000,11149000,10906000,10961000,2625.432216
2020-07-08,10988000,11208000,10968000,11138000,3274.769819
2020-07-07,11065000,11097000,10952000,10988000,1828.517133
2020-07-06,10831000,11102000,10796000,11065000,2834.356263
2020-07-05,10883000,10900000,10700000,10831000,1232.809558
2020-07-04,10845000,10960000,10814000,10884000,1102.13769
2020-07-03,10888000,10920000,10821000,10837000,1446.240884
2020-07-02,11041000,11077000,10772000,10888000,2255.067306
2020-07-01,10903000,11111000,10887000,11051000,1746.779919
2020-06-30,10980000,11004000,10882000,10903000,1491.98629
2020-06-29,10970000,11033000,10814000,10972000,1945.523093
2020-06-28,10913000,11163000,10756000,10970000,2015.602425
2020-06-27,11045000,11051000,10791000,10913000,1712.146247
2020-06-26,11151000,11185000,10901000,11045000,2087.941295
2020-06-25,11232000,11232000,10842000,11147000,2709.109893
2020-06-24,11506000,11553000,11110000,11233000,3231.001307
2020-06-23,11593000,11649000,11488000,11509000,2329.403946
2020-06-22,11235000,11675000,11232000,11593000,2696.344505
2020-06-21,11317000,11355000,11225000,11238000,909.5552699
2020-06-20,11285000,11351000,11155000,11325000,1263.7329
2020-06-19,11341000,11382000,11150000,11286000,2389.517785
2020-06-18,11437000,11445000,11224000,11341000,2323.411973
2020-06-17,11453000,11517000,11320000,11437000,2739.255456
2020-06-16,11339000,11492000,11267000,11453000,3026.568243
2020-06-15,11246000,11415000,10770000,11346000,4693.793931
2020-06-14,11382000,11395000,11156000,11246000,1408.073502
2020-06-13,11374000,11406000,11272000,11388000,1212.950409
2020-06-12,11090000,11449000,11062000,11380000,2651.81738
2020-06-11,11732000,11799000,11058000,11090000,4545.215074
2020-06-10,11688000,11847000,11590000,11737000,2283.585579
2020-06-09,11690000,11777000,11550000,11688000,2610.124787
2020-06-08,11680000,11719000,11560000,11690000,1728.382889
2020-06-07,11641000,11786000,11373000,11687000,2655.73232
2020-06-06,11601000,11699000,11512000,11641000,1459.868073
2020-06-05,11785000,11855000,11561000,11597000,2593.825824
2020-06-04,11659000,11865000,11470000,11784000,4182.022952
2020-06-03,11520000,11661000,11401000,11648000,3039.986053
2020-06-02,12111000,12173000,11301000,11520000,8745.473285
2020-06-01,11432000,12230000,11402000,12112000,6160.915576
2020-05-31,11583000,11585000,11363000,11432000,2525.313461
2020-05-30,11397000,11603000,11303000,11581000,3047.33667
2020-05-29,11579000,11603000,11276000,11398000,2986.579176
2020-05-28,11151000,11600000,11104000,11579000,4438.473141
2020-05-27,10724000,11187000,10722000,11163000,4433.783301
2020-05-26,10821000,10929000,10611000,10729000,3154.589746
2020-05-25,10663000,10886000,10507000,10825000,4299.982282
2020-05-24,11140000,11249000,10630000,10664000,3564.633242
2020-05-23,11117000,11299000,11048000,11140000,2106.463909
2020-05-22,11089000,11242000,10900000,11117000,4239.65574
2020-05-21,11533000,11609000,10798000,11089000,7323.045949
2020-05-20,11727000,11800000,11350000,11532000,5246.788728
2020-05-19,11704000,11833000,11430000,11727000,6500.919618
2020-05-18,11619000,11899000,11380000,11705000,6557.54614
2020-05-17,11322000,11831000,11275000,11619000,5191.711773
2020-05-16,11314000,11570000,11175000,11325000,4514.140061
2020-05-15,11777000,11839000,11229000,11314000,8174.219288
2020-05-14,11265000,11945000,11215000,11776000,10116.56034
2020-05-13,10680000,11347000,10660000,11268000,5944.676232
2020-05-12,10441000,10866000,10400000,10677000,5819.876953
2020-05-11,10672000,11248000,10121000,10448000,13828.24763
2020-05-10,11553000,11600000,10220000,10671000,14835.99642
2020-05-09,11881000,11950000,11477000,11550000,6605.953077
2020-05-08,11988000,12163000,11810000,11881000,7019.789316
